Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,24,NYK,68,22,18.9,2.2,4.9,.459,0.3,0.9,.300,2.0,4.0,.494,.486,1.1,1.4,.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9
2,Jordan Adams,SG,20,MEM,30,0,8.3,1.2,2.9,.407,0.3,0.8,.400,0.8,2.0,.410,.465,0.5,0.8,.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1
3,Steven Adams,C,21,OKC,70,67,25.3,3.1,5.7,.544,0.0,0.0,.000,3.1,5.7,.547,.544,1.5,2.9,.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
4,Jeff Adrien,PF,28,MIN,17,0,12.6,1.1,2.6,.432,0.0,0.0,,1.1,2.6,.432,.432,1.3,2.2,.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
5,Arron Afflalo,SG,29,TOT,78,72,32.1,4.8,11.3,.424,1.5,4.3,.354,3.3,7.1,.466,.491,2.1,2.5,.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3
6,Alexis Ajinca,C,26,NOP,68,8,14.1,2.7,4.8,.550,0.0,0.0,,2.7,4.8,.550,.550,1.2,1.5,.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5
7,Furkan Aldemir,PF,23,PHI,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
8,Cole Aldrich,C,26,NYK,61,16,16.0,2.4,4.9,.478,0.0,0.0,,2.4,4.9,.478,.478,0.8,1.0,.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5
9,LaMarcus Aldridge,PF,29,POR,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,8.8,18.5,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4
10,Lavoy Allen,PF,25,IND,63,0,17.0,2.2,4.7,.472,0.0,0.0,,2.2,4.7,.472,.472,0.5,0.7,.702,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0
11,Tony Allen,SG,33,MEM,63,41,26.2,3.6,7.2,.495,0.2,0.5,.345,3.4,6.8,.505,.505,1.3,2.0,.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6
12,Al-Farouq Aminu,SF,24,DAL,74,3,18.5,2.0,4.8,.412,0.5,1.7,.274,1.5,3.1,.485,.459,1.1,1.6,.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
13,Lou Amundson,PF,32,TOT,53,35,17.7,2.1,4.8,.427,0.0,0.0,.000,2.1,4.8,.429,.427,0.8,1.6,.471,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,4.9
14,Chris Andersen,C,36,MIA,60,20,18.9,2.0,3.5,.580,0.1,0.2,.308,1.9,3.2,.598,.589,1.3,1.9,.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3
15,Alan Anderson,SG,32,BRK,74,19,23.6,2.6,5.9,.443,1.0,2.8,.348,1.6,3.1,.530,.526,1.1,1.4,.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4
16,Kyle Anderson,SF,21,SAS,33,8,10.8,0.9,2.7,.348,0.1,0.3,.273,0.8,2.4,.359,.365,0.3,0.4,.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2
17,Ryan Anderson,PF,26,NOP,61,5,27.5,4.8,12.0,.399,2.0,5.9,.340,2.8,6.1,.457,.483,2.1,2.5,.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7
18,Giannis Antetokounmpo,SG,20,MIL,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7
19,Carmelo Anthony,SF,30,NYK,40,40,35.7,9.0,20.2,.444,1.5,4.5,.341,7.4,15.7,.474,.482,4.7,5.9,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2
